MES_ANO	CAMPANHA (Big Idea | Big Promise)
07/2021	Turma Especial TCU 2021 | Guia definitivo para conquistar R$ 21/mês mil no melhor cargo do país
08/2021	Imersão Tática PCERJ 2021 | 3 dias de treinamento com quem mais aprovou na área policial em 2021
08/2021	Projeto de Reta Final TJSP: Do zero à aprovação em 80 dias
08/2021	CFC Sob Controle | O caminho seguro para a aprovação no exame de suficiência
08/2021	1º Congresso Nacional dos Concursos de Saúde | Como conquistar uma das 15 mil vagas
08/2021	Imersão Elite Fiscal | 1.375 oportunidades para ingressar no serviço público ganhando até 21 mil
09/2021	PC PB Operação Parabellum - Fique pronto para a disputa pelas 1.400 vagas
09/2021	Ultimato CGU - 300 vagas para ganhar R$ 1 milhão em 4 anos
09/2021	SEDF em Dose Dupla | Como se preparar de uma só vez para os dois concursos de Professor do DF
09/2021	Operação Reta Final PCERJ | Revelando os segredos da FGV
10/2021	Raio-X Final TJ RJ | Desvendando a banca CEBRASPE
10/2021	Black Friday Estratégia 2021 | O Líder absoluto em aprovações com os menores preços do ano
10/2021	Última Chamada PC PB | Por que você não pode deixar essa oportunidade passar. Não mesmo!
10/2021	- Black Friday Receita Federal | 699 vagas para ganhar até R$ 21 mil por mês já em 2022
10/2021	- Black Friday INSS | 7.575 oportunidades de garantir R$ 6 mil por mês em 2022
10/2021	- Black Friday Policial | Estude com o curso que mais aprova pelos menores preços do ano
10/2021	- Black Friday Estratégia | Oportunidades com salários acima de R$ 6 mil por mês sem fazer faculdade
10/2021	- Black Friday Estratégia I Desemprego nunca mais: conquiste uma das XX mil vagas no serviço público em 2022
11/2021	Protocolo Final TCU | Como vencer a FGV com as técnicas utilizadas por 70% dos aprovados em 2013 e 2015
12/2021	IBAMA x ICMBio | Descubra o melhor caminho para ganhar até R$ 8 mil por mês
12/2021	Petrobras em 50 dias | Guia Definitivo para conquistar pelo menos R$ 13 mil iniciais por mês mais benefícios
01/2022	O ano da virada | 73,6 mil vagas de concursos, salários de até R$ 21 mil e o método que funciona há 10 anos
01/2022	Desafio INSS 180 | Garanta 6 mil por mês estudando 180 minutos por 180 dias
01/2022	Senado: a oportunidade da Década | A estratégia para conquistar R$ 19 mil/mês tendo apenas nível médio
01/2022	A chave do sucesso TDJFT | O poder do método #1 em concursos para sair na frente na disputa por 250 vagas e conquistar salários de até 12 mil
01/2022	Operação Zero Um Polícia Federal | Saiba como aplicar o método que aprovou 1º, 2º e 3º colocados de Agente, Escrivão e Papilo do último concurso
01/2022	MasterClass Receita Federal 2022 | Os segredos para conquistar uma das 699 vagas e salários de até R$ 21 mil revelados por quem já foi aprovado
01/2022	PC SP em Alerta |  A estratégia de RETA FINAL mais eficaz para conquistar uma das 2.939 vagas
01/2022	Método Pós-Edital #01 TJDFT | Faça o que os #1 colocados fizeram e seja aprovado em 4 meses
02/2022	Geração de Ouro de Auditores Fiscais | Como se tornar o profissional mais bem remunerado do poder executivo em 2022
02/2022	Operação PMDF 2022 | O treinamento especial para as 2100 vagas na tropa mais bem paga do país
PERPÉTUO	[CONSERTE O ERRO] Procura-se reprovados | As suas chances continuarão pequenas enquanto estiver do lado errado.
03/2022	1a Turma Estratégica INSS | O plano para conquistar R$ 6 mil por mês estudando 3h por dia
03/2022	Esquadrão Classe A Receita Federal | O plano imbatível para conquistar salários de até R$ 21 mil em 2022
04/2022	O Jogo da Aprovação TJ MG | Ganhe pelo menos R$ 6 mil/mês (nível médio) com a estratégia que aprova até 90% em Tribunais
04/2022	Semana das Residências Uni e Multiprofissionais | Como obter diferencial competitivo no mercado ganhando até 4 mil/mês para estudar
04/2022	Esquentou INSS | O que fazer diante do novo pedido de 7.830 vagas
04/2022	FUNIL DE E-MAILS
05/2022	Detonando Concursos de Nível Médio | Como conquistar uma das 6 mil vagas com salários de até R$ 10 mil nos próximos 6 meses
05/2022	Vzero PRF 2022 | Aprenda e domine por completo a estratégia usada por 952 aprovados em 2021
05/2022	Pós-Edital Turbinado TRT RS | 60 dias para detonar a FCC e conquistar até R$ 12,4 mil/mês
05/2022	Mapa da Aprovação Receita Federal | Domine o método que aprovou 67% dos Auditores no último concurso e conquiste 21k/mês
05/2022	FUNIL DE E-MAILS MP PA
05/2022	FUNIL CARRINHO ABANDONADO
06/2022	A Jornada do Escriturário BRB | Descubra como ganhar R$ 4.000,00/mês no Banco de Brasília tendo apenas nível médio
06/2022	MasterClass Área Fiscal | Dispute em alto nível os 7 maiores concursos fiscais de 2022 com salários de até R$ 27 mil
06/2022	INSS em 90 minutos | 3 coisas que você precisa saber antes do edital sair
06/2022	Ações de vendas para a Receita Federal
07/2022	Semana nacional dos concursos públicos | O fim da concorrência nos concursos públicos
07/2022	Gabarito SEFAZ MG | O passo a passo para conquistar uma das 431 vagas e ganhar R$ 25 mil/mês
07/2022	BRB: Jornada da Aprovação em 120 dias I A trilha para conquistar uma das 150 vagas e ganhar 5 mil/mês sem ter faculdade
07/2022	Concurso INSS | O Ultimato - Saiba como ser aprovado e ganhar R$ 6 mil/mês no melhor concurso de nível médio
08/2022	Senado Federal: A via alternativa | Por que você não pode ignorar esta oportunidade de ganhar até R$ 33 mil/mês
08/2022	Receita Federal Experience | Um acompanhamento de 30 dias que fará você 'furar a fila' da aprovação
08/2022	Missão Final CFC | A última chance para ser aprovado ainda em 2022
08/2022	Projeto R$ 9 mil sem faculdade | Conquistando uma das mais de 5 mil vagas para nível médio em 2022
08/2022	TRT MG em 70 dias | A reta final turbinada para conquistar até R$ 14,2 mil por mês
09/2022	Semana da sua Independência Financeira I 61 mil vagas abertas para ganhar até R$ 21 mil por mês
09/2022	Sinal Verde INSS | Largue na frente no concurso mais esperado com 1.000 vagas e salários de R$ 6 mil/mês
09/2022	Detran DF de 0 a 100 | Largue na frente no pós-edital com 366 vagas e salários de até R$ 6,4 mil
09/2022	Vaga Certa PPGG DF | Garanta até R$ 7,7 mil por mês com o método pós-edital que aprovou 85% no TCU
09/2022	Funil upsell Assinatura Premium
09/2022	A Última Jornada do INSS | 70 dias de treinamento para disputar as 1.000 vagas de nível médio com salários de R$ 6 mil
10/2022	Black Friday Estratégia Concursos |  O menor preço do ano para estudar com o líder absoluto em aprovações.
11/2022	MP MG Imersão em 60 dias I Para você não ficar de fora das 101 vagas e garantir até 6.2 mil/ mês
11/2022	Turma de Elite PM SP I Saia do zero e conquiste uma das 2700 vagas em apenas 3 meses
