MES	CAMPANHA	LINK_PLANILHA
44378.0	Turma Especial TCU 2021 | Guia definitivo para conquistar R$ 21/mês mil no melhor cargo do país	https://docs.google.com/spreadsheets/d/1_5uxRqgZ6VlQHkjonB0pmhIK70r1YMsHNtfdfJccyTk/edit?usp=sharing
44409.0	Imersão Tática PCERJ 2021 | 3 dias de treinamento com quem mais aprovou na área policial em 2021	https://docs.google.com/spreadsheets/d/1sHTZFzq3zIMRzpf0VGOpPxMEUxG-_PGRFawdMjoxVps/edit?usp=sharing
44409.0	Projeto de Reta Final TJSP: Do zero à aprovação em 80 dias	https://docs.google.com/spreadsheets/d/1ymyS3LniY725VcnU66GaY6BQ7cTTUboHvTZT9r_tWA8/edit?usp=sharing
44409.0	CFC Sob Controle | O caminho seguro para a aprovação no exame de suficiência	https://docs.google.com/spreadsheets/d/1yFJXwLB0p78bwfVRcnGq_-3_rKZ1BNrc9rpM50NDi84/edit?usp=sharing
44409.0	1º Congresso Nacional dos Concursos de Saúde | Como conquistar uma das 15 mil vagas	https://docs.google.com/spreadsheets/d/11CDrFrqXoRDl13zAJnA08YsfgQ014dvu0RwTcn1HoK0/edit?usp=sharing
44409.0	Imersão Elite Fiscal | 1.375 oportunidades para ingressar no serviço público ganhando até 21 mil	https://docs.google.com/spreadsheets/d/1ocdmXPtMlEcOtHUdK7PRt9SWAROMjqLOYARytC6ZURU/edit?usp=sharing
44440.0	PC PB Operação Parabellum - Fique pronto para a disputa pelas 1.400 vagas	https://docs.google.com/spreadsheets/d/1kX2hzg0fVXd72Us1I9fJ2UuQBbgvVP-vp9KIgTItAGQ/edit?usp=sharing
44440.0	Ultimato CGU - 300 vagas para ganhar R$ 1 milhão em 4 anos	https://docs.google.com/spreadsheets/d/1dCWQI_97-Kps9SNf6TYpiOUbwChG9G2D5hixGIm-aRU/edit?usp=sharing
44440.0	SEDF em Dose Dupla | Como se preparar de uma só vez para os dois concursos de Professor do DF	https://docs.google.com/spreadsheets/d/19CgREY4alW3woeyUjM0xa_z_O4bUY9QJ3SjDMQLwdk4/edit?usp=sharing
44440.0	Operação Reta Final PCERJ | Revelando os segredos da FGV	https://docs.google.com/spreadsheets/d/1kyEc2Xx5gqaNhnuzZrPwJwMMleT-YzN23snKd8QByts/edit?usp=sharing
